State,Revenue District,Centre,Capacity completed but some minor ancillary works are pending,Capacity completed,Total Completed
Maharashtra,Sindhu Durg,Kudal,NA,7000,7000
Maharashtra,Solapur,Kurudwadi,NA,18000,18000
Maharashtra,Latur,Latur,NA,8870,8870
Maharashtra,Latur,Latur,NA,10000,10000
Maharashtra,Satara,Lonand,NA,8232,8232
Maharashtra,Osmanabad,Osmanabad,NA,40000,40000
Maharashtra,Parbhani,Parbhani,NA,30000,30000
Maharashtra,Beed,Parli vaijnath,NA,17500,17500
Maharashtra,Ratnagiri,Ratnagiri,NA,23340,23340
Maharashtra,Satara,Satara,NA,20860,20860
Maharashtra,Washim,Washim,NA,30000,30000
Maharashtra,Yeotmal,Yeotmal,NA,10000,10000
Maharashtra,Yeotmal,Yeotmal,NA,15000,15000
Total,Total,Total,NA,564527,564527
Andhra Pradesh,East Godavari,Biccavolu,NA,30000,30000
Andhra Pradesh,East Godavari,Dwarapudi,NA,5000,5000
Andhra Pradesh,Vizianagaram,Bobbili,NA,6000,6000
Andhra Pradesh,Prakasam,Chirala,NA,5800,5800
Andhra Pradesh,West Godavari,Palakole,NA,5000,5000
Andhra Pradesh,Srikakulum,Amadalavalasa,NA,20000,20000
Andhra Pradesh,Srikakulum,Tekkali,NA,16000,16000
Total,Total,Total,NA,87800,87800
Telengana,Nizamabad,Bodhan,NA,20000,20000
Telengana,Mahbubnagar,Gadwal,NA,10000,10000
Telengana,Warangal,Jangoan,NA,10000,10000
Telengana,Warangal,Nekkonda,NA,50000,50000
Telengana,Nalgonda,Mellachervu,31000,NA,31000
Telengana,Nalgonda,Nagireddipalli,NA,50000,50000
Telengana,Nizamabad,Nizamabad,NA,60000,60000
Telengana,Karimnagar,Sultanabad,NA,38000,38000
Total,Total,Total,31000,238000,269000
Karnataka,Chamrajnagar,Chamrajnagar,NA,10000,10000
Karnataka,Chitradurga,Chitradurga,NA,27000,27000
Karnataka,Gadag,Gadag,NA,18520,18520
Karnataka,Gulberga,Gulberga,NA,32000,32000
Karnataka,Davengere,Harihara,NA,6500,6500
Karnataka,Hassan,Hassan,NA,9000,9000
Karnataka,Haveri,Haveri,NA,15000,15000
Karnataka,Kopal,Kopal,NA,20000,20000
Karnataka,Mandya,Mandya,NA,3000,3000
Karnataka,Mysore,Mysore,NA,13000,13000
Karnataka,Mysore,Mysore,NA,7000,7000
Karnataka,Raichur,Raichur,NA,5750,5750
Karnataka,Raichur,Raichur,NA,23000,23000
Karnataka,Yadagir,Yadagir,NA,15000,15000
Total,Total,Total,0,204770,204770
Tamilnadu,Ariyalur,Ariyalur,NA,10000,10000
Tamilnadu,Virudhunagar,Aruppukottai,NA,5000,5000
Tamilnadu,Villupuram,Chinnasalem,NA,15000,15000
Tamilnadu,Villupuram,Villupuram,20000,0,20000
Tamilnadu,Cuddalore,Cuddalore,NA,15000,15000
Tamilnadu,Krishnagiri,Hosur,NA,15000,15000
Tamilnadu,Sivagangai,Karaikudi,NA,15000,15000
